timestamp,BTC,Price
2021-04-15,1,63159.98
2021-04-16,1,61334.8
2021-05-05,1,57436.11
2021-05-06,1,56393.68
2021-07-25,1,35381.02
2021-07-26,1,37237.6
2021-07-27,1,39457.87
2021-07-28,1,40019.56
2021-07-29,1,40016.48
2021-07-30,1,42206.37
2021-07-31,1,41461.83
2021-08-01,1,39845.44
2021-08-02,1,39147.82
2021-08-03,1,38207.05
2021-08-04,1,39723.18
2021-08-05,1,40862.46
2021-08-06,1,42836.87
2021-08-07,1,44572.54
2021-08-08,1,43794.37
2021-08-09,1,46253.4
2021-08-10,1,45584.99
2021-08-11,1,45511.0
2021-08-13,1,47800.0
2021-08-14,1,47068.51
2021-08-15,1,46973.82
2021-08-16,1,45901.29
2021-08-17,1,44695.95
2021-08-23,1,49488.85
2021-08-25,1,48973.32
2021-09-06,1,52663.9
2021-10-03,1,48200.01
2021-10-04,1,49224.94
2021-10-05,1,51471.99
2021-10-06,1,55315.0
2021-10-07,1,53785.22
2021-10-08,1,53951.43
2021-10-09,1,54949.72
2021-10-10,1,54659.0
2021-10-11,1,57471.35
2021-10-12,1,55996.93
2021-10-13,1,57367.0
2021-10-14,1,57347.94
2021-10-15,1,61672.42
2021-10-16,1,60875.57
2021-10-17,1,61528.33
2021-10-18,1,62009.84
2021-10-19,1,64280.59
2021-10-20,1,66001.41
2021-10-21,1,62193.15
2021-10-22,1,60688.22
2021-10-23,1,61286.75
2021-10-25,1,63078.78
2021-11-08,1,67525.83
2021-11-09,1,66947.66
2021-11-10,1,64882.43
2021-11-14,1,65519.1
2021-12-26,1,50775.49
2021-12-27,1,50701.44
2022-02-04,1,41574.25
2022-02-05,1,41382.59
2022-02-06,1,42380.87
2022-02-07,1,43839.99
2022-02-08,1,44042.99
2022-02-09,1,44372.72
2022-02-10,1,43495.44
2022-02-11,1,42373.73
2022-02-12,1,42217.87
2022-02-13,1,42053.66
2022-02-14,1,42535.94
2022-02-15,1,44544.86
2022-03-19,1,42201.13
2022-03-23,1,42882.76
2022-03-24,1,43991.46
2022-03-25,1,44313.16
2022-03-26,1,44511.27
2022-03-27,1,46827.76
2022-03-28,1,47122.21
2022-03-29,1,47434.8
2022-03-30,1,47067.99
2022-03-31,1,45510.34
2022-04-01,1,46283.49
2022-04-02,1,45811.0
2022-04-03,1,46407.35
2022-04-04,1,46580.51
2022-04-05,1,45497.55
2022-05-31,1,31801.04
2022-07-14,1,20588.84
2022-07-15,1,20830.04
2022-07-16,1,21195.6
2022-07-18,1,22432.58
2022-07-19,1,23396.62
2022-07-20,1,23223.3
2022-07-21,1,23152.19
2022-07-23,1,22451.07
2022-07-24,1,22579.68
2022-07-25,1,21310.9
2022-07-27,1,22952.45
2022-07-28,1,23842.93
2022-07-29,1,23773.75
2022-08-07,1,23174.39
2022-08-13,1,24441.38
2022-08-14,1,24305.24
2022-08-15,1,24094.82
2022-08-16,1,23854.74
2022-09-10,1,21648.34
2022-09-11,1,21826.87
2022-09-12,1,22395.74
2022-10-05,1,20158.26
2022-10-26,1,20771.59
2022-10-27,1,20295.11
2022-10-28,1,20591.84
2022-10-29,1,20809.67
2022-10-30,1,20627.48
2022-10-31,1,20490.74
2022-11-01,1,20483.62
2022-11-02,1,20151.84
2022-11-03,1,20207.82
2022-11-04,1,21148.52
2022-11-05,1,21299.37
2022-12-04,1,17105.7
2022-12-05,1,16966.35
2022-12-08,1,17224.1
2022-12-09,1,17128.56
2022-12-10,1,17127.49
2022-12-14,1,17803.15
2023-01-09,1,17178.26
2023-01-10,1,17440.66
2023-01-11,1,17943.26
2023-01-12,1,18846.62
2023-01-13,1,19930.01
2023-01-14,1,20954.92
2023-01-15,1,20871.5
2023-01-16,1,21185.65
2023-01-17,1,21134.81
2023-01-18,1,20677.47
2023-01-19,1,21071.59
2023-01-20,1,22667.21
2023-01-21,1,22783.55
2023-01-22,1,22707.88
2023-01-23,1,22916.45
2023-01-24,1,22632.89
2023-01-25,1,23060.94
2023-01-26,1,23009.65
2023-01-27,1,23074.16
2023-01-28,1,23022.6
2023-01-29,1,23742.3
2023-01-30,1,22826.15
2023-01-31,1,23125.13
2023-02-18,1,24631.95
2023-02-22,1,24182.21
2023-02-23,1,23940.2
2023-03-16,1,24998.78
2023-03-17,1,27395.13
2023-03-18,1,26907.49
2023-03-19,1,27972.87
2023-03-20,1,27717.01
2023-03-21,1,28105.47
2023-03-22,1,27250.97
2023-03-23,1,28295.41
2023-03-24,1,27454.47
2023-03-25,1,27462.95
2023-03-26,1,27968.05
2023-03-27,1,27124.91
2023-04-11,1,30200.42
2023-04-12,1,29888.07
2023-04-13,1,30373.84
2023-04-14,1,30466.93
2023-04-15,1,30295.09
2023-04-16,1,30304.65
2023-04-17,1,29430.27
2023-04-18,1,30380.01
2023-05-04,1,28838.16
2023-05-05,1,29505.61
2023-06-20,1,28307.99
2023-06-21,1,29993.89
2023-06-22,1,29884.92
2023-06-23,1,30688.5
2023-06-24,1,30527.43
2023-06-25,1,30462.66
2023-06-26,1,30267.99
2023-06-27,1,30692.44
2023-06-28,1,30077.41
2023-06-29,1,30447.31
2023-06-30,1,30472.0
2023-07-01,1,30585.9
2023-09-15,1,26600.0
2023-09-18,1,26762.51
2023-09-19,1,27210.26
2023-09-20,1,27125.0
2023-09-24,1,26248.38
2023-10-01,1,27992.57
2023-10-04,1,27778.57
2023-10-06,1,27931.09
2023-10-07,1,27956.67
2023-10-08,1,27917.05
2023-10-09,1,27590.12
2023-10-16,1,28500.78
2023-10-20,1,29669.04
2023-10-21,1,29909.8
2023-10-22,1,29992.46
2023-10-23,1,33069.99
2023-10-24,1,33922.73
2023-10-25,1,34496.05
2023-10-26,1,34151.66
2023-10-27,1,33892.02
2023-10-28,1,34081.0
2023-10-29,1,34525.89
2023-10-30,1,34474.73
2023-10-31,1,34639.77
2023-11-01,1,35421.43
2023-11-02,1,34941.59
2023-11-03,1,34716.78
2023-11-05,1,35011.88
2023-11-06,1,35046.09
2023-11-07,1,35399.12
2023-11-08,1,35624.72
2023-11-09,1,36701.09
2023-11-10,1,37301.63
2023-11-11,1,37130.0
2023-11-12,1,37064.13
2023-11-13,1,36462.93
2023-11-15,1,37858.2
2023-12-02,1,39450.35
2023-12-03,1,39972.26
2023-12-04,1,41991.1
2023-12-05,1,44073.32
2023-12-06,1,43762.69
2023-12-07,1,43273.14
2023-12-08,1,44170.99
2023-12-09,1,43713.6
2023-12-10,1,43789.51
2023-12-11,1,41253.4
2023-12-12,1,41492.39
2023-12-13,1,42869.03
2023-12-14,1,43022.26
2023-12-24,1,42991.5
2024-01-08,1,46951.04
2024-01-09,1,46110.0
2024-01-10,1,46653.99
2024-01-11,1,46339.16
2024-02-04,1,42582.88
2024-02-05,1,42708.7
2024-02-06,1,43098.95
2024-02-08,1,45288.65
2024-02-09,1,47132.77
2024-02-10,1,47751.09
2024-02-11,1,48299.99
2024-02-12,1,49917.27
2024-02-13,1,49699.59
2024-02-14,1,51795.17
2024-02-15,1,51880.0
2024-02-16,1,52124.11
2024-02-17,1,51642.64
2024-02-18,1,52137.67
2024-02-19,1,51774.73
2024-02-20,1,52258.82
2024-02-21,1,51849.39
2024-02-22,1,51288.42
2024-02-23,1,50744.15
2024-02-27,1,57037.34
2024-02-28,1,62432.1
2024-02-29,1,61130.98
2024-03-01,1,62387.9
2024-03-02,1,61987.28
2024-03-03,1,63113.97
2024-03-04,1,68245.71
2024-03-05,1,63724.01
2024-03-06,1,66074.04
2024-03-07,1,66823.17
2024-03-08,1,68124.19
2024-03-09,1,68313.27
2024-03-10,1,68955.88
2024-03-11,1,72078.1
2024-03-12,1,71452.01
2024-03-13,1,73072.41
2024-03-14,1,71388.94
2024-03-15,1,69499.85
2024-04-01,1,69649.8
2024-04-04,1,68487.79
2024-05-20,1,71446.62
2024-05-21,1,70148.34
2024-05-22,1,69166.62
2024-05-23,1,67969.65
2024-05-24,1,68549.99
2024-05-25,1,69290.57
2024-05-26,1,68507.67
2024-06-05,1,71108.0
2024-06-06,1,70799.06
2024-07-16,1,65043.99
2024-07-17,1,64087.99
2024-07-18,1,63987.92
2024-07-19,1,66660.0
2024-07-20,1,67139.96
2024-07-21,1,68165.34
2024-07-22,1,67532.01
2024-07-23,1,65936.01
2024-07-24,1,65376.0
2024-07-25,1,65799.95
2024-07-26,1,67907.99
2024-07-28,1,68249.88
2024-08-24,1,64157.01
2024-08-25,1,64220.0
2024-09-18,1,61759.99
2024-09-19,1,62947.99
2024-09-20,1,63201.05
2024-09-21,1,63348.96
2024-09-22,1,63578.76
2024-09-23,1,63339.99
2024-09-24,1,64262.7
2024-09-25,1,63152.01
2024-09-26,1,65173.99
2024-09-27,1,65769.95
2024-09-28,1,65858.0
2024-09-29,1,65602.01
2024-09-30,1,63327.59
2024-10-14,1,66083.99
2024-10-15,1,67074.14
2024-10-16,1,67620.01
2024-10-17,1,67421.78
2024-10-18,1,68428.0
2024-10-19,1,68378.0
2024-10-20,1,69031.99
2024-10-21,1,67377.5
2024-10-22,1,67426.0
2024-10-23,1,66668.65
2024-10-24,1,68198.28
2024-10-25,1,66698.33
2024-10-29,1,72736.42
2024-10-30,1,72344.74
2024-11-06,1,75571.99
2024-11-07,1,75857.89
2024-11-08,1,76509.78
2024-11-09,1,76677.46
2024-11-10,1,80370.01
2024-11-11,1,88647.99
2024-11-12,1,87952.01
2024-11-13,1,90375.2
2024-11-14,1,87325.59
2024-11-15,1,91032.07
2024-11-16,1,90586.92
2024-11-17,1,89855.99
2024-11-18,1,90464.08
2024-11-19,1,92310.79
2024-11-20,1,94286.56
2024-11-21,1,98317.12
2024-11-22,1,98892.0
2024-11-23,1,97672.4
2024-11-24,1,97900.04
2024-11-27,1,95863.11
2024-11-29,1,97460.0
2024-11-30,1,96407.99
2024-12-08,1,101109.59
2024-12-15,1,104463.99
