lookback,hold,stop_loss,compounded_return,simple_return,max_drawdown,sharpe_ratio,win_rate,profit_factor
5,720,0.04,7.418331581026694,2.85347255,-0.3319562962521442,5.863096304615017,0.2978723404255319,3.162803030303031
5,720,0.03,7.143861389561415,2.8062961500000005,-0.2624618305105451,5.9306623702127865,0.24074074074074073,3.282682926829269
5,720,0.01,5.7955804204638275,2.49605135,-0.2220804248809142,5.718558763222612,0.11764705882352941,4.3297333333333325
5,720,0.05,5.603327166558607,2.62358755,-0.38626395161919197,4.846339203549336,0.3111111111111111,2.6934838709677407
5,720,0.02,5.165539887895569,2.4663662000000004,-0.33225576851167676,4.81415639219701,0.16176470588235295,3.1645614035087712
5,720,0.06,4.546061917930292,2.486756,-0.4594177375666111,4.122897609551474,0.3181818181818182,2.382222222222222
5,720,0.1,4.355474985382351,2.2930529,-0.43044851053736866,4.717312410025569,0.475,2.2677939876215736
5,720,0.09,4.004966060843881,2.38210835,-0.4513794164481337,3.7597242148422807,0.45,2.275719944331442
5,360,0.06,4.001078381231797,2.0493748000000003,-0.31718817527526616,5.483310955728755,0.4444444444444444,2.200398103155553
5,480,0.04,3.892647125843135,2.0691649,-0.27754976882603505,5.040752988103062,0.3018867924528302,2.398783783783785
5,360,0.09,3.723361906507221,2.0299845,-0.34788959483656445,4.646832606722486,0.49056603773584906,2.0845303572382123
5,360,0.07,3.654790249435906,1.9871059499999997,-0.3545094001046212,4.885653311290083,0.4444444444444444,2.1229665612291004
5,360,0.04,3.3900486341503164,1.8831579499999997,-0.2778868708376632,5.060521329558948,0.3389830508474576,2.2077564102564113
5,120,0.09,3.1886443090042897,1.68945485,-0.330710885634007,7.155702371655427,0.5584415584415584,2.016538369016118
5,720,0.07,3.1725343930929117,2.2474757,-0.5244975736020535,3.0769889278535834,0.3181818181818182,2.0894379844961235
5,360,0.1,3.1036069786465106,1.90394755,-0.43510189420818635,4.011333397204479,0.49056603773584906,1.9530218130878525
5,480,0.03,3.086681173752922,1.8486752000000002,-0.28260570526894657,4.50369117599883,0.23333333333333334,2.3402898550724647
5,120,0.1,2.925763304722498,1.6319835999999999,-0.380501670051559,6.474333688203736,0.5584415584415584,1.9491367784688718
5,360,0.03,2.9144062802604704,1.7720135500000005,-0.3046865464511959,4.5986842085192015,0.24242424242424243,2.181933333333334
5,240,0.01,2.897282048120841,1.6101945000000006,-0.1582143954470797,8.71646897837534,0.1509433962264151,2.7899999999999996
5,480,0.05,2.8744322052432962,1.84937485,-0.2939453617166398,3.938785555195997,0.3333333333333333,2.088411764705882
5,480,0.01,2.871068075224165,1.7109441000000003,-0.22208042488091412,4.933029987087038,0.10204081632653061,2.945227272727272
5,360,0.05,2.866279233612718,1.7740125500000001,-0.232943146565756,4.327826154471186,0.3684210526315789,2.0040730893251113
5,360,0.08,2.8585039784674438,1.8149920499999999,-0.38423876830367293,3.951181212542715,0.4444444444444444,1.9347781323998765
5,720,0.08,2.8233618269150424,2.17861015,-0.4866025887829765,2.800955996506747,0.3488372093023256,1.9934822242479495
5,120,0.05,2.7629262572756748,1.55372275,-0.18164831728160755,7.452357725126779,0.4936708860759494,1.9624791034610856
5,120,0.04,2.6591291390475367,1.4950521,-0.19169933367385109,8.07966674373644,0.46835443037974683,2.008903278025091
5,240,0.04,2.605192404561827,1.56971475,-0.2273157344838788,5.146616549941316,0.373134328358209,1.9848247319245
5,480,0.06,2.5394907756739493,1.7772109500000002,-0.3648078688038561,3.5041797225762905,0.36,1.9532003859761988
5,120,0.06,2.50247442565098,1.4930531000000002,-0.23370710794753158,6.311248202020889,0.5189873417721519,1.8638676844783715
5,96,0.09,2.474580541412911,1.4408792000000004,-0.3086946972900275,7.218851000540655,0.6024096385542169,1.977819982364512
5,480,0.02,2.4395340754814954,1.6260865500000001,-0.3366099695207238,3.841394162958626,0.16216216216216217,2.3120161290322585
5,480,0.09,2.303758461020024,1.7561215,-0.5238595883144164,3.111731133861103,0.4222222222222222,1.8822938636135385
5,96,0.05,2.2976747242946836,1.3709141999999999,-0.22372113120475914,7.844102253080233,0.5476190476190477,1.9388732972824967
5,480,0.1,2.2276364454871076,1.74302805,-0.5641217587074262,3.048705118700755,0.4318181818181818,1.8699925168371159
5,96,0.1,2.2160942057389876,1.3709142,-0.3312232087742088,6.277188868594661,0.6024096385542169,1.8881693971378615
5,96,0.04,2.2041111983039134,1.3356318499999997,-0.1927592800039462,7.916241202441927,0.5058823529411764,1.9252873563218391
5,120,0.07,2.162991949393548,1.4005993499999998,-0.2560726374867204,5.222579824183731,0.5189873417721519,1.7692265466322663
5,480,0.07,2.157262980242382,1.6767611999999996,-0.42920403078607794,3.0300944501111338,0.375,1.8533496108652523
5,360,0.01,2.05727698868915,1.3880056500000002,-0.22208042488091442,4.7323192521566035,0.09900990099009901,2.526043956043956
5,240,0.05,2.016125944246562,1.4115938499999998,-0.2639872283933898,3.891586234351079,0.4090909090909091,1.7697716247887931
5,120,0.08,1.9944554684392797,1.35342295,-0.2865326514191441,4.608248593663677,0.5256410256410257,1.724543849323131
5,96,0.06,1.8901136377870316,1.2495749,-0.2719296306049357,5.934684929054803,0.5595238095238095,1.7809357236554437
5,96,0.08,1.801070032018219,1.22868535,-0.28527762569718723,5.158559068488329,0.5833333333333334,1.750396776950311
5,96,0.03,1.7965639797884223,1.1999997000000004,-0.14888257492625254,7.074980400062942,0.43333333333333335,1.809848229342328
5,96,0.07,1.7721995115758613,1.2146923499999998,-0.28441614542993215,5.332099942737592,0.5714285714285714,1.7403143274853794
